,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,9115.0,9115.0,0
1,Beijing,0.0,0.0,0
2,Chongqing,4924.0,4924.0,0
3,EastInnerMongolia,13162.0,13162.0,0
4,Fujian,4965.0,4965.0,0
5,Gansu,11350.0,11350.0,0
6,Guangdong,13468.0,13468.0,0
7,Guangxi,7895.0,7895.0,0
8,Guizhou,15980.0,15980.0,0
9,Hainan,1660.0,1660.0,0
10,Hebei,24430.0,24430.0,0
11,Heilongjiang,9736.0,9736.0,0
12,Henan,17410.0,17410.0,0
13,Hubei,6370.0,6370.0,0
14,Hunan,3964.0,3964.0,0
15,Jiangsu,13814.0,13814.0,0
16,Jiangxi,1955.0,1955.0,0
17,Jilin,8025.0,8025.0,0
18,Liaoning,15990.0,15990.0,0
19,Ningxia,7420.0,7420.0,0
20,Qinghai,1840.0,1840.0,0
21,Shaanxi,16780.0,16780.0,0
22,Shandong,50011.0,50011.0,0
23,Shanghai,800.0,800.0,0
24,Shanxi,34790.0,34790.0,0
25,Sichuan,3295.0,3295.0,0
26,Tianjin,4027.0,4027.0,0
27,WestInnerMongolia,33240.0,33240.0,0
28,Xinjiang,37388.0,37388.0,0
29,Xizang,0.0,0.0,0
30,Yunnan,6000.0,6000.0,0
31,Zhejiang,6175.8,6175.8,0
