province,2060_cap_mw,region
Anhui,1924.8544423440455,e_c
Beijing,755.2288778446247,other
Chongqing,10766.279182096281,SW
EastInnerMongolia,1828.448862150144,other
Fujian,18499.989918084437,e_c
Gansu,13937.991137370753,NW
Guangdong,37284.45723253989,other
Guangxi,69918.2945330892,other
Guizhou,31524.881661568186,SW
Hainan,3617.148835992676,other
Hebei,2186.1888569186503,other
Heilongjiang,4332.628825529689,other
Henan,4216.347826086957,e_c
Hubei,55454.13988657845,e_c
Hunan,22319.145557655957,e_c
Jiangsu,76.38311279143038,e_c
Jiangxi,8249.376181474481,e_c
Jilin,17688.255296887262,other
Liaoning,7353.544336908188,other
Ningxia,626.2629246676514,NW
Qinghai,17375.155096011815,NW
Shaanxi,5709.187592319055,NW
Shandong,122.2129804662886,e_c
Shanghai,0.0,e_c
Shanxi,4094.1354956840178,other
Sichuan,109072.49718241829,SW
Tianjin,39.74888830761182,other
WestInnerMongolia,2861.9199581480516,other
Xinjiang,11651.403249630723,NW
Xizang,2777.9488005152148,SW
Yunnan,103378.39317340203,SW
Zhejiang,10357.55009451796,e_c
