lon,lat
87.616848,43.825592
87.308224,44.011182
89.189651,42.951382
86.08046,44.305428
84.889207,45.579888
81.324136,43.916823
112.548879,37.870590
112.752694,37.687024
111.144319,37.518314
112.734174,38.416663
111.749180,40.842585
109.840347,40.657449
109.781327,39.608266
109.734589,38.285390
108.940174,34.341568
107.237974,34.361979
108.708991,34.329605
108.945233,34.896756
109.509786,34.499995
109.940477,33.870422
111.007528,35.026412
111.518976,36.088005
105.724947,34.580863
106.665240,35.543051
107.643631,35.709077
106.230909,38.487193
106.383303,38.983236
106.198393,37.997460
105.196902,37.499972
106.546050,38.903169
106.078818,38.021302
106.340054,38.102655
106.253145,38.277373
103.834303,36.061089
101.778228,36.617144
102.104287,36.502039
104.138559,36.544756
104.626282,35.580662
103.210538,35.601182
100.900997,36.954413
100.620373,36.286437
102.015248,35.519548
126.534967,45.803775
125.103784,46.589309
123.918186,47.354348
126.968887,46.653845
129.633168,44.551653
125.323544,43.817071
126.549576,43.837883
124.350398,43.166419
125.143532,42.887918
124.825117,45.141789
129.508946,42.891253
123.431474,41.805698
121.614682,38.914003
122.994329,41.108647
123.957208,41.880872
123.766485,41.294175
124.354706,40.000499
123.236944,41.267244
122.235417,40.667012
122.070714,41.119997
116.407526,39.904030
117.200983,39.084158
114.514859,38.042306
118.180193,39.630867
115.464806,38.873891
119.600492,39.935385
116.683752,39.538047
116.838834,38.304477
117.962410,40.954071
114.887543,40.824418
117.119999,36.651216
120.382639,36.067082
121.447935,37.463822
118.054927,36.813487
119.161755,36.706774
118.674767,37.434751
122.120419,37.513068
119.526888,35.416377
113.625368,34.746599
112.454040,34.619682
114.307581,34.797239
112.528321,32.990833
114.392392,36.097577
115.656370,34.414172
113.926800,35.303004
113.192661,33.766169
113.852640,34.035506
113.241823,35.215892
114.696951,33.626149
114.091023,32.146983
114.022298,33.011529
114.297272,35.747225
115.029215,35.761829
114.016539,33.581412
111.200135,34.772493
112.602344,35.06903
113.116255,36.195386
112.851831,35.490701
111.007528,35.026412
114.504844,37.070589
114.538961,36.625657
115.985371,36.456703
115.480656,35.233750
116.964356,33.646373
116.798265,33.955844
117.389719,32.916287
115.814204,32.890124
115.778676,33.844582
121.473701,31.230416
118.796877,32.060255
120.311910,31.491169
119.973987,31.810689
120.585315,31.298886
120.894291,31.980171
119.412966,32.394210
119.425836,32.187849
120.163561,33.347382
119.923116,32.455778
120.155070,30.274084
121.550357,29.874556
120.086823,30.894348
120.755486,30.746129
120.580232,30.029752
119.647444,29.079059
122.207215,29.985295
121.420757,28.656386
117.227239,31.820586
118.432941,31.352859
118.506759,31.670452
117.812079,30.945429
117.063754,30.543494
118.317106,32.301556
117.491568,30.664800
118.758816,30.940718
114.305392,30.593098
115.038520,30.199652
114.894843,30.391940
114.872316,30.453905
113.916902,30.924568
114.322492,29.841443
112.122414,32.008986
111.286471,30.691967
112.239741,30.335165
112.199265,31.035423
112.938814,28.228209
113.134002,27.827550
112.944049,27.829738
113.128958,29.357104
112.355180,28.553860
111.698497,29.031673
112.571997,26.893230
111.993497,27.700062
115.858197,28.682892
116.001930,29.705077
117.178419,29.268835
117.069202,28.260189
114.917346,27.817808
114.416778,27.815619
113.854556,27.622768
117.943433,28.454863
116.358181,27.949217
114.992509,27.113443
118.675675,24.874132
119.296494,26.074507
120.699366,27.994267
118.089425,24.479833
117.647481,24.512948
114.935029,25.831829
117.017536,25.075123
116.681972,23.354091
117.638678,26.263406
119.007777,25.454084
117.943433,28.454863
119.547932,26.665617
116.372831,23.549993
118.081325,27.382829
118.859457,28.970079
116.358181,27.949217
119.922796,28.467630
116.122238,24.288615
116.622603,23.656950
117.069202,28.260189
113.264434,23.129162
114.057868,22.543099
113.121416,23.021548
113.751765,23.020536
113.392782,22.517645
113.576726,22.270715
113.081901,22.578738
112.465091,23.047191
114.416196,23.111847
108.366543,22.817002
109.119927,21.481254
108.654146,21.979933
108.353846,21.686860
110.164756,22.636379
107.364711,22.376532
110.359377,21.270707
110.925456,21.662999
111.982232,21.857958
110.198293,20.044001
109.580811,19.521134
108.651815,19.095351
104.066541,30.572269
106.551556,29.563009
104.778442,29.339030
105.442258,28.871811
104.397894,31.126855
105.592898,30.532847
105.058433,29.580228
103.765568,29.552106
106.110698,30.837793
103.848538,30.075439
104.643215,28.751768
106.633212,30.455961
104.627636,30.128901
104.679114,31.467450
107.468023,31.209571
103.013261,29.980537
106.630153,26.647661
106.927389,27.725654
105.283992,27.302589
105.947593,26.253072
107.982859,26.583442
107.522097,26.254092
102.832891,24.880095
103.796167,25.489999
102.546543,24.352036
101.528068,25.045532
103.374799,23.363130
91.140856,29.645554
75.989755,39.470400
119.765744,49.211574
118.886856,42.257817
116.999932,32.625478
108.239473,34.527551
103.260380,36.736513
95.782306,40.520545
105.192780,25.431377
104.895467,25.092040
114.720086,41.158557
111.450006,30.378327
116.048222,43.933454
102.830892,36.320321
94.928484,36.406404
109.489727,36.585455
102.264449,27.894504
93.514916,42.818501
98.494483,39.732410
103.717465,27.338257
100.966512,22.825065
